respondent_key,split
2013-2014:73564,train
2013-2014:73566,train
2013-2014:73568,train
2013-2014:73574,validation
2013-2014:73580,train
2013-2014:73596,train
2013-2014:73599,validation
2013-2014:73613,train
2013-2014:73614,train
2013-2014:73615,train
2013-2014:73618,train
2013-2014:73619,test
2013-2014:73642,validation
2013-2014:73668,test
2013-2014:73670,train
2013-2014:73674,train
2013-2014:73677,test
2013-2014:73694,train
2013-2014:73702,train
2013-2014:73703,train
2013-2014:73714,test
2013-2014:73715,train
2013-2014:73726,train
2013-2014:73740,train
2013-2014:73747,train
2013-2014:73758,validation
2013-2014:73763,train
2013-2014:73767,train
2013-2014:73770,train
2013-2014:73772,train
2013-2014:73773,validation
2013-2014:73774,train
2013-2014:73775,train
2013-2014:73776,train
2013-2014:73786,validation
2013-2014:73797,train
2013-2014:73801,train
2013-2014:73808,test
2013-2014:73809,test
2013-2014:73813,train
2013-2014:73833,train
2013-2014:73846,train
2013-2014:73848,train
2013-2014:73849,train
2013-2014:73855,train
2013-2014:73862,validation
2013-2014:73864,validation
2013-2014:73866,test
2013-2014:73878,train
2013-2014:73879,test
2013-2014:73880,validation
2013-2014:73882,train
2013-2014:73896,train
2013-2014:73902,train
2013-2014:73906,train
2013-2014:73915,train
2013-2014:73924,validation
2013-2014:73930,train
2013-2014:73931,test
2013-2014:73937,validation
2013-2014:73954,train
2013-2014:73955,test
2013-2014:73958,train
2013-2014:73971,validation
2013-2014:73975,train
2013-2014:73981,train
2013-2014:73990,validation
2013-2014:73995,train
2013-2014:74006,train
2013-2014:74012,test
2013-2014:74013,train
2013-2014:74017,train
2013-2014:74019,test
2013-2014:74022,train
2013-2014:74028,train
2013-2014:74031,validation
2013-2014:74032,train
2013-2014:74047,train
2013-2014:74049,train
2013-2014:74050,validation
2013-2014:74051,train
2013-2014:74054,train
2013-2014:74057,train
2013-2014:74058,train
2013-2014:74065,test
2013-2014:74083,train
2013-2014:74087,train
2013-2014:74090,train
2013-2014:74097,train
2013-2014:74101,train
2013-2014:74102,validation
2013-2014:74109,train
2013-2014:74119,train
2013-2014:74122,train
2013-2014:74124,train
2013-2014:74127,train
2013-2014:74128,train
2013-2014:74131,train
2013-2014:74133,test
2013-2014:74147,validation
2013-2014:74149,train
2013-2014:74150,test
2013-2014:74158,train
2013-2014:74160,test
2013-2014:74164,validation
2013-2014:74172,train
2013-2014:74180,train
2013-2014:74187,validation
2013-2014:74191,train
2013-2014:74198,train
2013-2014:74211,test
2013-2014:74214,validation
2013-2014:74226,train
2013-2014:74231,train
2013-2014:74233,train
2013-2014:74235,train
2013-2014:74239,train
2013-2014:74249,train
2013-2014:74252,validation
2013-2014:74259,test
2013-2014:74265,train
2013-2014:74268,train
2013-2014:74275,train
2013-2014:74279,train
2013-2014:74283,test
2013-2014:74285,validation
2013-2014:74288,train
2013-2014:74292,train
2013-2014:74293,train
2013-2014:74313,train
2013-2014:74316,validation
2013-2014:74323,train
2013-2014:74332,train
2013-2014:74349,train
2013-2014:74358,train
2013-2014:74360,train
2013-2014:74366,test
2013-2014:74374,train
2013-2014:74375,test
2013-2014:74381,train
2013-2014:74384,train
2013-2014:74394,validation
2013-2014:74396,validation
2013-2014:74399,train
2013-2014:74401,validation
2013-2014:74415,train
2013-2014:74417,train
2013-2014:74418,test
2013-2014:74424,train
2013-2014:74425,train
2013-2014:74434,train
2013-2014:74446,validation
2013-2014:74451,train
2013-2014:74460,validation
2013-2014:74462,train
2013-2014:74471,train
2013-2014:74480,train
2013-2014:74481,train
2013-2014:74486,train
2013-2014:74490,train
2013-2014:74504,train
2013-2014:74505,validation
2013-2014:74509,train
2013-2014:74516,train
2013-2014:74521,train
2013-2014:74523,train
2013-2014:74530,test
2013-2014:74548,train
2013-2014:74551,validation
2013-2014:74557,train
2013-2014:74559,train
2013-2014:74570,validation
2013-2014:74574,train
2013-2014:74575,train
2013-2014:74580,validation
2013-2014:74582,train
2013-2014:74588,test
2013-2014:74596,test
2013-2014:74601,train
2013-2014:74602,test
2013-2014:74605,train
2013-2014:74609,train
2013-2014:74613,test
2013-2014:74614,test
2013-2014:74623,train
2013-2014:74624,test
2013-2014:74627,train
2013-2014:74633,train
2013-2014:74642,train
2013-2014:74647,test
2013-2014:74652,train
2013-2014:74653,train
2013-2014:74655,validation
2013-2014:74658,train
2013-2014:74668,train
2013-2014:74669,test
2013-2014:74670,train
2013-2014:74671,test
2013-2014:74673,train
2013-2014:74675,train
2013-2014:74678,test
2013-2014:74693,train
2013-2014:74710,train
2013-2014:74711,train
2013-2014:74717,test
2013-2014:74719,train
2013-2014:74721,train
2013-2014:74731,train
2013-2014:74734,train
2013-2014:74742,validation
2013-2014:74745,test
2013-2014:74747,train
2013-2014:74751,test
2013-2014:74766,train
2013-2014:74772,train
2013-2014:74774,train
2013-2014:74778,train
2013-2014:74779,test
2013-2014:74783,train
2013-2014:74785,validation
2013-2014:74786,train
2013-2014:74787,train
2013-2014:74789,validation
2013-2014:74795,train
2013-2014:74813,train
2013-2014:74815,train
2013-2014:74817,train
2013-2014:74822,train
2013-2014:74824,train
2013-2014:74831,test
2013-2014:74837,train
2013-2014:74841,train
2013-2014:74843,train
2013-2014:74852,validation
2013-2014:74854,test
2013-2014:74869,train
2013-2014:74877,train
2013-2014:74878,train
2013-2014:74883,train
2013-2014:74885,validation
2013-2014:74895,train
2013-2014:74897,test
2013-2014:74902,train
2013-2014:74907,train
2013-2014:74910,validation
2013-2014:74911,validation
2013-2014:74913,train
2013-2014:74918,train
2013-2014:74919,train
2013-2014:74942,train
2013-2014:74945,validation
2013-2014:74958,test
2013-2014:74971,train
2013-2014:74977,train
2013-2014:74978,test
2013-2014:74983,test
2013-2014:74986,train
2013-2014:74992,train
2013-2014:74997,train
2013-2014:75011,train
2013-2014:75018,train
2013-2014:75027,train
2013-2014:75030,train
2013-2014:75033,test
2013-2014:75041,train
2013-2014:75042,validation
2013-2014:75043,train
2013-2014:75044,train
2013-2014:75045,train
2013-2014:75047,train
2013-2014:75064,train
2013-2014:75070,train
2013-2014:75075,train
2013-2014:75079,train
2013-2014:75081,train
2013-2014:75089,train
2013-2014:75097,validation
2013-2014:75101,train
2013-2014:75103,validation
2013-2014:75114,train
2013-2014:75125,train
2013-2014:75131,train
2013-2014:75138,train
2013-2014:75140,validation
2013-2014:75141,train
2013-2014:75143,train
2013-2014:75149,test
2013-2014:75155,test
2013-2014:75158,test
2013-2014:75164,train
2013-2014:75178,train
2013-2014:75181,train
2013-2014:75187,test
2013-2014:75188,train
2013-2014:75193,validation
2013-2014:75209,train
2013-2014:75220,train
2013-2014:75222,train
2013-2014:75227,test
2013-2014:75235,train
2013-2014:75259,train
2013-2014:75260,train
2013-2014:75263,train
2013-2014:75265,validation
2013-2014:75274,test
2013-2014:75280,validation
2013-2014:75282,test
2013-2014:75283,train
2013-2014:75289,validation
2013-2014:75296,train
2013-2014:75309,test
2013-2014:75320,train
2013-2014:75324,validation
2013-2014:75326,train
2013-2014:75329,train
2013-2014:75337,train
2013-2014:75340,train
2013-2014:75341,train
2013-2014:75350,train
2013-2014:75351,train
2013-2014:75359,test
2013-2014:75374,train
2013-2014:75381,train
2013-2014:75389,train
2013-2014:75393,train
2013-2014:75397,train
2013-2014:75403,train
2013-2014:75405,validation
2013-2014:75407,train
2013-2014:75413,train
2013-2014:75415,train
2013-2014:75419,train
2013-2014:75422,train
2013-2014:75425,train
2013-2014:75428,test
2013-2014:75435,test
2013-2014:75444,test
2013-2014:75447,test
2013-2014:75467,train
2013-2014:75473,validation
2013-2014:75476,train
2013-2014:75481,validation
2013-2014:75482,train
2013-2014:75506,train
2013-2014:75507,train
2013-2014:75513,train
2013-2014:75518,validation
2013-2014:75521,train
2013-2014:75527,test
2013-2014:75531,train
2013-2014:75534,test
2013-2014:75537,test
2013-2014:75538,train
2013-2014:75539,train
2013-2014:75546,train
2013-2014:75549,train
2013-2014:75550,train
2013-2014:75554,test
2013-2014:75555,train
2013-2014:75557,validation
2013-2014:75572,test
2013-2014:75584,train
2013-2014:75586,train
2013-2014:75589,train
2013-2014:75592,train
2013-2014:75594,validation
2013-2014:75598,validation
2013-2014:75609,train
2013-2014:75612,validation
2013-2014:75613,train
2013-2014:75620,train
2013-2014:75621,train
2013-2014:75624,train
2013-2014:75625,train
2013-2014:75630,train
2013-2014:75631,validation
2013-2014:75635,train
2013-2014:75636,validation
2013-2014:75640,test
2013-2014:75648,train
2013-2014:75650,train
2013-2014:75660,train
2013-2014:75664,train
2013-2014:75665,test
2013-2014:75667,train
2013-2014:75670,test
2013-2014:75680,train
2013-2014:75684,train
2013-2014:75695,train
2013-2014:75699,train
2013-2014:75702,train
2013-2014:75707,train
2013-2014:75709,train
2013-2014:75717,train
2013-2014:75723,validation
2013-2014:75737,test
2013-2014:75745,train
2013-2014:75755,validation
2013-2014:75760,train
2013-2014:75762,train
2013-2014:75766,validation
2013-2014:75785,train
2013-2014:75790,train
2013-2014:75805,test
2013-2014:75807,validation
2013-2014:75816,train
2013-2014:75820,train
2013-2014:75823,train
2013-2014:75824,validation
2013-2014:75825,train
2013-2014:75827,train
2013-2014:75828,train
2013-2014:75831,train
2013-2014:75832,train
2013-2014:75850,train
2013-2014:75853,train
2013-2014:75856,train
2013-2014:75863,train
2013-2014:75872,validation
2013-2014:75878,train
2013-2014:75880,train
2013-2014:75881,train
2013-2014:75883,test
2013-2014:75888,train
2013-2014:75890,train
2013-2014:75892,train
2013-2014:75895,validation
2013-2014:75905,train
2013-2014:75908,train
2013-2014:75915,train
2013-2014:75922,train
2013-2014:75928,train
2013-2014:75929,train
2013-2014:75936,train
2013-2014:75938,train
2013-2014:75949,test
2013-2014:75951,train
2013-2014:75954,train
2013-2014:75955,train
2013-2014:75958,train
2013-2014:75965,train
2013-2014:75966,train
2013-2014:75985,train
2013-2014:75987,train
2013-2014:75992,train
2013-2014:75998,train
2013-2014:76006,train
2013-2014:76007,train
2013-2014:76014,validation
2013-2014:76028,test
2013-2014:76033,train
2013-2014:76034,test
2013-2014:76038,train
2013-2014:76039,train
2013-2014:76040,train
2013-2014:76042,train
2013-2014:76054,train
2013-2014:76079,train
2013-2014:76089,train
2013-2014:76091,test
2013-2014:76095,train
2013-2014:76099,train
2013-2014:76101,train
2013-2014:76103,train
2013-2014:76104,train
2013-2014:76117,train
2013-2014:76118,test
2013-2014:76129,train
2013-2014:76132,train
2013-2014:76133,train
2013-2014:76139,validation
2013-2014:76146,test
2013-2014:76148,train
2013-2014:76154,validation
2013-2014:76164,train
2013-2014:76167,validation
2013-2014:76169,train
2013-2014:76179,train
2013-2014:76181,train
2013-2014:76187,train
2013-2014:76188,train
2013-2014:76189,train
2013-2014:76193,train
2013-2014:76199,train
2013-2014:76204,train
2013-2014:76206,train
2013-2014:76210,train
2013-2014:76212,train
2013-2014:76214,train
2013-2014:76217,train
2013-2014:76218,test
